,Bot Xtr,CD,CDp,CL,Chinge,Cm,Cpmin,Top Xtr,XCp,alpha,deflection
33,1.0,0.02817,0.02036,1.2202,0.0,-0.0355,-5.4264,0.0861,0.2695,8.5,5.0
34,1.0,0.03083,0.02322,1.2474,0.0,-0.0323,-5.9566,0.0704,0.2656,9.0,5.0
35,1.0,0.03408,0.02668,1.2702,0.0,-0.0286,-6.4427,0.0585,0.2616,9.5,5.0
36,1.0,0.03812,0.03091,1.2893,0.0,-0.025,-6.8903,0.0496,0.2578,10.0,5.0
37,1.0,0.0417,0.03494,1.2975,0.0,-0.0206,-7.2414,0.0436,0.2535,10.5,5.0
38,1.0,0.04744,0.04095,1.3015,0.0,-0.0173,-7.5339,0.0387,0.2502,11.0,5.0
39,1.0,0.05309,0.04721,1.2896,0.0,-0.014,-7.6594,0.0361,0.247,11.5,5.0
40,1.0,0.05909,0.05359,1.2753,0.0,-0.0127,-7.8121,0.033,0.2452,12.0,5.0
41,1.0,0.0663,0.06098,1.2624,0.0,-0.0131,-7.9716,0.0305,0.2448,12.5,5.0
42,1.0,0.09136,0.08696,1.1846,0.0,-0.0231,-7.5423,0.0299,0.2522,13.5,5.0
43,1.0,0.17344,0.16959,0.9341,0.0,-0.0753,-3.319,0.0568,0.3157,14.0,5.0
44,1.0,0.17682,0.17303,0.9535,0.0,-0.0754,-3.7165,0.05,0.3131,14.5,5.0
45,1.0,0.20892,0.20567,0.7579,0.0,-0.0881,-1.9999,0.0645,0.3516,16.5,5.0
46,1.0,0.21792,0.21469,0.7601,0.0,-0.0923,-1.897,0.0615,0.3563,17.0,5.0
47,1.0,0.22513,0.22193,0.7633,0.0,-0.0967,-1.8052,0.0543,0.361,17.5,5.0
48,1.0,0.23537,0.23222,0.7858,0.0,-0.0967,-1.9185,0.0503,0.3565,18.0,5.0
49,1.0,0.2417,0.23853,0.7759,0.0,-0.1039,-1.6341,0.0461,0.3671,18.5,5.0
50,1.0,0.24919,0.24605,0.7858,0.0,-0.1067,-1.6134,0.0418,0.3681,19.0,5.0
51,1.0,0.26105,0.25795,0.8089,0.0,-0.1065,-1.7263,0.0393,0.3631,19.5,5.0
52,1.0,0.26663,0.26352,0.8003,0.0,-0.1135,-1.4564,0.038,0.3727,20.0,5.0
53,0.0271,0.03082,0.02315,-0.7882,0.0,0.0687,-3.5896,0.8011,0.3339,-3.0,-10.0
54,0.026,0.02627,0.01787,-0.7323,0.0,0.0704,-3.5344,0.7881,0.3432,-2.5,-10.0
55,0.0298,0.02346,0.01487,-0.6765,0.0,0.0712,-3.2969,0.7745,0.3526,-2.0,-10.0
56,0.039,0.02094,0.01227,-0.6253,0.0,0.0727,-3.0976,0.7604,0.3638,-1.5,-10.0
57,0.2539,0.01712,0.00979,-0.5869,0.0,0.0762,-3.0816,0.7467,0.3777,-1.0,-10.0
58,0.7978,0.01541,0.01072,-0.5284,0.0,0.0781,-2.5168,0.7317,0.396,-0.5,-10.0
59,0.9379,0.01963,0.01428,-0.3783,0.0,0.0676,-1.4936,0.7141,0.427,0.0,-10.0
60,0.9856,0.01947,0.01353,-0.2208,0.0,0.0495,-0.6828,0.6957,0.4729,0.5,-10.0
61,1.0,0.01858,0.01235,-0.1363,0.0,0.0437,-0.4316,0.677,0.5702,1.0,-10.0
62,1.0,0.01821,0.01178,-0.088,0.0,0.0452,-0.4025,0.6607,0.7652,1.5,-10.0
63,1.0,0.01781,0.01122,-0.04,0.0,0.0468,-0.4542,0.6442,1.4305,2.0,-10.0
64,1.0,0.0174,0.01066,0.0078,0.0,0.0486,-0.5111,0.6272,-6.0305,2.5,-10.0
65,1.0,0.01698,0.0101,0.0554,0.0,0.0505,-0.5745,0.6096,-0.6767,3.0,-10.0
66,1.0,0.01655,0.00955,0.1027,0.0,0.0525,-0.6463,0.5914,-0.2718,3.5,-10.0
67,1.0,0.01623,0.00913,0.1518,0.0,0.0541,-0.726,0.5697,-0.1149,4.0,-10.0
68,1.0,0.01593,0.00875,0.2009,0.0,0.0556,-0.8158,0.5463,-0.0351,4.5,-10.0
69,1.0,0.01573,0.0085,0.2513,0.0,0.0568,-0.9166,0.5198,0.016,5.0,-10.0
70,1.0,0.0156,0.00833,0.3018,0.0,0.0579,-1.0302,0.4915,0.0504,5.5,-10.0
71,1.0,0.01556,0.00824,0.3531,0.0,0.0587,-1.1551,0.4605,0.0758,6.0,-10.0
72,1.0,0.01562,0.00828,0.4051,0.0,0.0593,-1.2996,0.4271,0.0956,6.5,-10.0
73,1.0,0.01577,0.00838,0.4574,0.0,0.0598,-1.4637,0.3919,0.1111,7.0,-10.0
74,1.0,0.01604,0.00872,0.511,0.0,0.0597,-1.6451,0.3517,0.1247,7.5,-10.0
75,1.0,0.01646,0.00913,0.5649,0.0,0.0593,-1.859,0.3092,0.1361,8.0,-10.0
76,1.0,0.01709,0.00978,0.6195,0.0,0.0586,-2.1283,0.2645,0.1461,8.5,-10.0
77,1.0,0.01801,0.01067,0.6744,0.0,0.0575,-2.4587,0.2209,0.155,9.0,-10.0
78,1.0,0.01919,0.01189,0.7289,0.0,0.0561,-2.8265,0.1818,0.1627,9.5,-10.0
79,1.0,0.02076,0.01343,0.7818,0.0,0.0549,-3.415,0.1502,0.1689,10.0,-10.0
80,1.0,0.02243,0.01527,0.8337,0.0,0.0536,-4.0436,0.1232,0.1743,10.5,-10.0
81,1.0,0.02458,0.01766,0.8828,0.0,0.0526,-4.6721,0.1008,0.1785,11.0,-10.0
82,1.0,0.02685,0.02008,0.9286,0.0,0.0514,-5.3097,0.0814,0.1819,11.5,-10.0
83,1.0,0.03007,0.02345,0.968,0.0,0.0511,-5.8883,0.0662,0.1839,12.0,-10.0
84,1.0,0.03328,0.02703,1.0023,0.0,0.0506,-6.4279,0.0548,0.1855,12.5,-10.0
85,1.0,0.03839,0.03279,1.0224,0.0,0.051,-6.7663,0.0481,0.1854,13.0,-10.0
86,1.0,0.04262,0.03716,1.0319,0.0,0.0522,-7.1275,0.0423,0.184,13.5,-10.0
87,1.0,0.04839,0.04339,1.0045,0.0,0.0546,-7.0989,0.0409,0.1794,14.0,-10.0
88,1.0,0.05094,0.04607,0.9503,0.0,0.064,-6.9726,0.0411,0.1654,14.5,-10.0
89,1.0,0.05529,0.05055,0.9032,0.0,0.0693,-6.8394,0.041,0.155,15.0,-10.0
90,1.0,0.06436,0.05992,0.865,0.0,0.0657,-6.6394,0.0409,0.1548,15.5,-10.0
91,1.0,0.07699,0.07282,0.8194,0.0,0.0585,-6.2878,0.0413,0.1586,16.0,-10.0
92,1.0,0.16391,0.15965,0.5952,0.0,0.0146,-2.3317,0.0814,0.2089,17.5,-10.0
93,1.0,0.17297,0.16872,0.6127,0.0,0.0139,-2.4565,0.078,0.2102,18.0,-10.0
94,1.0,0.17967,0.17536,0.6061,0.0,0.0077,-2.2729,0.0704,0.2201,18.5,-10.0
95,1.0,0.18912,0.18492,0.6397,0.0,0.01,-2.5809,0.0654,0.2163,19.0,-10.0
96,1.0,0.19496,0.19062,0.6263,0.0,0.0013,-2.2294,0.0614,0.2298,19.5,-10.0
97,1.0,0.20138,0.19709,0.6435,0.0,-0.0006,-2.297,0.0552,0.2322,20.0,-10.0
98,0.0655,0.0952,0.09172,-0.438,0.0,-0.0198,-1.7286,1.0,0.1984,-10.0,10.0
99,0.0687,0.09059,0.0872,-0.4582,0.0,-0.0176,-1.7902,1.0,0.2058,-9.5,10.0
100,0.0318,0.03158,0.02576,-0.358,0.0,-0.0696,-3.1927,1.0,0.0479,-7.5,10.0
101,0.0284,0.02508,0.01803,-0.2982,0.0,-0.0716,-3.2748,1.0,0.0014,-7.0,10.0
102,0.0304,0.02208,0.01458,-0.2452,0.0,-0.0712,-3.1332,1.0,-0.0497,-6.5,10.0
103,0.0387,0.01989,0.01218,-0.1937,0.0,-0.0707,-2.9409,1.0,-0.1253,-6.0,10.0
104,0.0736,0.0179,0.01017,-0.1398,0.0,-0.0705,-2.835,1.0,-0.2674,-5.5,10.0
105,0.332,0.01715,0.01038,-0.06,0.0,-0.0765,-2.3145,0.9894,-1.0498,-5.0,10.0
106,0.4366,0.01775,0.01115,0.0193,0.0,-0.0814,-1.6733,0.9741,4.5444,-4.5,10.0
107,0.5209,0.01826,0.0118,0.0974,0.0,-0.0857,-1.0927,0.9578,1.1414,-4.0,10.0
108,0.5937,0.01887,0.0125,0.1756,0.0,-0.0896,-0.6431,0.9412,0.7653,-3.5,10.0
109,0.6482,0.01951,0.01317,0.2537,0.0,-0.093,-0.4715,0.9247,0.6193,-3.0,10.0
110,0.6904,0.01984,0.01348,0.3176,0.0,-0.0937,-0.5229,0.9033,0.5464,-2.5,10.0
111,0.729,0.01981,0.01346,0.3903,0.0,-0.0958,-0.585,0.8855,0.4961,-2.0,10.0
112,0.7692,0.01913,0.01281,0.4668,0.0,-0.0987,-0.6573,0.8695,0.4615,-1.5,10.0
113,0.8094,0.01809,0.01195,0.544,0.0,-0.1014,-0.7411,0.8541,0.4359,-1.0,10.0
114,0.8726,0.0167,0.01092,0.624,0.0,-0.1041,-0.8432,0.8385,0.4159,-0.5,10.0
115,1.0,0.0155,0.00984,0.7053,0.0,-0.1072,-0.9639,0.8208,0.4007,0.0,10.0
116,1.0,0.01518,0.00958,0.7381,0.0,-0.1027,-1.0451,0.766,0.3873,0.5,10.0
117,1.0,0.01332,0.00773,0.8071,0.0,-0.1023,-1.1857,0.7269,0.3746,1.0,10.0
118,1.0,0.01198,0.00597,0.8893,0.0,-0.1038,-1.3654,0.6651,0.3642,1.5,10.0
119,1.0,0.01275,0.00635,0.9412,0.0,-0.1023,-1.5202,0.5928,0.3557,2.0,10.0
120,1.0,0.01367,0.007,0.9874,0.0,-0.1002,-1.69,0.5275,0.348,2.5,10.0
121,1.0,0.01466,0.00774,1.0312,0.0,-0.0978,-1.8718,0.4654,0.341,3.0,10.0
122,1.0,0.01574,0.00863,1.0732,0.0,-0.0953,-2.0811,0.4049,0.3344,3.5,10.0
123,1.0,0.01693,0.00962,1.1131,0.0,-0.0926,-2.3458,0.3451,0.3282,4.0,10.0
124,1.0,0.01829,0.01077,1.1505,0.0,-0.0897,-2.6458,0.2852,0.3224,4.5,10.0
125,1.0,0.0199,0.01217,1.1853,0.0,-0.0864,-2.9656,0.2304,0.3168,5.0,10.0
126,1.0,0.02175,0.01382,1.2188,0.0,-0.0831,-3.4797,0.1856,0.3115,5.5,10.0
127,1.0,0.02368,0.01569,1.2515,0.0,-0.0798,-4.0109,0.1504,0.3064,6.0,10.0
128,1.0,0.02581,0.01783,1.2816,0.0,-0.0761,-4.5444,0.1235,0.3015,6.5,10.0
129,1.0,0.02836,0.02027,1.3094,0.0,-0.0723,-5.0813,0.1018,0.2967,7.0,10.0
130,1.0,0.03067,0.02283,1.3337,0.0,-0.0681,-5.5996,0.0837,0.2918,7.5,10.0
131,1.0,0.03351,0.02584,1.3561,0.0,-0.0639,-6.1042,0.0688,0.2873,8.0,10.0
132,1.0,0.03693,0.02945,1.3765,0.0,-0.0599,-6.5839,0.057,0.2829,8.5,10.0
133,1.0,0.04125,0.03401,1.3972,0.0,-0.0563,-7.0427,0.0482,0.279,9.0,10.0
134,1.0,0.04496,0.03808,1.4066,0.0,-0.0518,-7.4337,0.0418,0.2749,9.5,10.0
135,1.0,0.05116,0.04471,1.4113,0.0,-0.048,-7.7111,0.0373,0.2713,10.0,10.0
136,1.0,0.05673,0.05082,1.4022,0.0,-0.0439,-7.898,0.0338,0.2678,10.5,10.0
137,1.0,0.06219,0.05646,1.3943,0.0,-0.0415,-8.1706,0.0304,0.2654,11.0,10.0
138,1.0,0.098,0.09383,1.2829,0.0,-0.0492,-7.6826,0.0285,0.2711,12.5,10.0
139,1.0,0.19731,0.19394,1.0627,0.0,-0.1097,-3.789,0.0503,0.3359,14.0,10.0
140,1.0,0.20884,0.20595,0.8487,0.0,-0.107,-2.2799,0.0746,0.3607,14.5,10.0
141,1.0,0.21687,0.21396,0.8267,0.0,-0.116,-1.9483,0.0692,0.3746,15.0,10.0
142,1.0,0.22616,0.22335,0.8613,0.0,-0.1132,-2.2823,0.062,0.3646,15.5,10.0
143,1.0,0.23355,0.23071,0.8398,0.0,-0.1223,-1.913,0.0598,0.3784,16.0,10.0
144,1.0,0.2415,0.23869,0.8457,0.0,-0.1258,-1.8628,0.0531,0.3808,16.5,10.0
145,1.0,0.25166,0.24889,0.8638,0.0,-0.1262,-1.9353,0.0495,0.3773,17.0,10.0
146,1.0,0.2595,0.25672,0.8562,0.0,-0.1331,-1.673,0.045,0.3861,17.5,10.0
147,1.0,0.26745,0.2647,0.8657,0.0,-0.1356,-1.6609,0.0409,0.3864,18.0,10.0
148,1.0,0.2793,0.27657,0.886,0.0,-0.1355,-1.7545,0.0386,0.3817,18.5,10.0
149,1.0,0.28623,0.28349,0.8771,0.0,-0.1426,-1.4774,0.0369,0.3907,19.0,10.0
150,1.0,0.2949,0.29219,0.8835,0.0,-0.146,-1.417,0.0324,0.3926,19.5,10.0
151,1.0,0.30305,0.30039,0.8932,0.0,-0.1482,-1.4574,0.0301,0.3922,20.0,10.0
152,0.0582,0.11596,0.1123,-0.5789,0.0,0.0122,-1.9907,1.0,0.2653,-10.0,0.0
153,0.0605,0.10621,0.1026,-0.5635,0.0,0.0123,-1.9131,1.0,0.2663,-9.5,0.0
154,0.0644,0.09942,0.09583,-0.5479,0.0,0.011,-1.8348,1.0,0.2649,-9.0,0.0
155,0.0305,0.03003,0.02392,-0.5135,0.0,-0.0249,-3.3305,1.0,0.1967,-6.0,0.0
156,0.0275,0.02485,0.01785,-0.4886,0.0,-0.0206,-3.4231,1.0,0.2032,-5.5,0.0
157,0.0281,0.02037,0.01278,-0.4155,0.0,-0.024,-3.2879,0.9846,0.1874,-5.0,0.0
158,0.0378,0.01722,0.00945,-0.3374,0.0,-0.0285,-3.0185,0.9663,0.1606,-4.5,0.0
159,0.1305,0.01384,0.00655,-0.2784,0.0,-0.0291,-2.955,0.9421,0.1404,-4.0,0.0
160,0.3571,0.01269,0.00624,-0.2315,0.0,-0.0276,-2.5065,0.917,0.1259,-3.5,0.0
161,0.4834,0.01221,0.00609,-0.1895,0.0,-0.0241,-2.026,0.894,0.1177,-3.0,0.0
162,0.6113,0.01165,0.00593,-0.148,0.0,-0.0203,-1.573,0.8711,0.1076,-2.5,0.0
163,0.7674,0.0111,0.00583,-0.106,0.0,-0.0156,-1.1446,0.8505,0.0967,-2.0,0.0
164,0.9272,0.01095,0.00572,-0.0232,0.0,-0.0183,-0.6662,0.8323,-0.5592,-1.5,0.0
165,0.9983,0.01095,0.00536,0.0896,0.0,-0.0289,-0.4369,0.8111,0.5746,-1.0,0.0
166,1.0,0.01097,0.00507,0.1325,0.0,-0.0265,-0.4788,0.7883,0.4504,-0.5,0.0
167,1.0,0.01105,0.00493,0.1775,0.0,-0.0243,-0.5264,0.7641,0.3862,0.0,0.0
168,1.0,0.01111,0.00475,0.2229,0.0,-0.0218,-0.5794,0.7415,0.3462,0.5,0.0
169,1.0,0.01121,0.00469,0.2713,0.0,-0.02,-0.6406,0.7155,0.3216,1.0,0.0
170,1.0,0.01129,0.00461,0.3199,0.0,-0.018,-0.711,0.6898,0.3038,1.5,0.0
171,1.0,0.01136,0.00451,0.369,0.0,-0.016,-0.7914,0.6631,0.2906,2.0,0.0
172,1.0,0.01146,0.0045,0.4195,0.0,-0.0144,-0.8817,0.6328,0.2813,2.5,0.0
173,1.0,0.01161,0.00455,0.4706,0.0,-0.0131,-0.9831,0.5994,0.2743,3.0,0.0
174,1.0,0.01181,0.00469,0.522,0.0,-0.0118,-1.0982,0.563,0.2687,3.5,0.0
175,1.0,0.01211,0.00483,0.5733,0.0,-0.0105,-1.225,0.5257,0.2641,4.0,0.0
176,1.0,0.01251,0.00519,0.6249,0.0,-0.0096,-1.372,0.4842,0.2606,4.5,0.0
177,1.0,0.01302,0.00562,0.6762,0.0,-0.0086,-1.5366,0.4417,0.2576,5.0,0.0
178,1.0,0.01364,0.00619,0.7269,0.0,-0.0077,-1.7163,0.3969,0.255,5.5,0.0
179,1.0,0.01439,0.00687,0.7768,0.0,-0.0069,-1.9258,0.3492,0.2527,6.0,0.0
180,1.0,0.01531,0.00772,0.8254,0.0,-0.006,-2.1842,0.2995,0.2506,6.5,0.0
181,1.0,0.01649,0.00876,0.8723,0.0,-0.005,-2.4943,0.2498,0.2486,7.0,0.0
182,1.0,0.01793,0.01012,0.9173,0.0,-0.004,-2.8352,0.2048,0.2466,7.5,0.0
183,1.0,0.01955,0.01175,0.9609,0.0,-0.0028,-3.347,0.1675,0.2445,8.0,0.0
184,1.0,0.0214,0.01359,1.0023,0.0,-0.0014,-3.9178,0.1378,0.2424,8.5,0.0
185,1.0,0.02352,0.01576,1.0414,0.0,0.0002,-4.4954,0.1137,0.2402,9.0,0.0
186,1.0,0.02569,0.01806,1.078,0.0,0.0019,-5.077,0.0933,0.2379,9.5,0.0
187,1.0,0.02859,0.02097,1.1105,0.0,0.0039,-5.6365,0.0761,0.2355,10.0,0.0
188,1.0,0.03176,0.02437,1.1397,0.0,0.0062,-6.1569,0.0629,0.2329,10.5,0.0
189,1.0,0.0348,0.02765,1.1625,0.0,0.0087,-6.6465,0.0525,0.2301,11.0,0.0
190,1.0,0.03926,0.0327,1.176,0.0,0.012,-6.979,0.0463,0.2267,11.5,0.0
191,1.0,0.04374,0.03727,1.1821,0.0,0.0148,-7.3306,0.0406,0.2237,12.0,0.0
192,1.0,0.04986,0.04399,1.1681,0.0,0.0169,-7.4069,0.0385,0.221,12.5,0.0
193,1.0,0.05704,0.05169,1.147,0.0,0.0165,-7.419,0.0365,0.2202,13.0,0.0
194,1.0,0.06558,0.06064,1.1222,0.0,0.0137,-7.3961,0.0347,0.2216,13.5,0.0
195,1.0,0.07753,0.07301,1.0843,0.0,0.0076,-7.1849,0.0343,0.2259,14.0,0.0
196,1.0,0.16527,0.16108,0.8236,0.0,-0.0437,-3.0901,0.0606,0.2883,15.0,0.0
197,1.0,0.17995,0.17637,0.6685,0.0,-0.0446,-2.1487,0.0766,0.3042,16.5,0.0
198,1.0,0.18502,0.18141,0.6423,0.0,-0.0535,-1.7839,0.0733,0.321,17.0,0.0
199,1.0,0.1913,0.18773,0.6543,0.0,-0.056,-1.8534,0.066,0.3227,17.5,0.0
200,1.0,0.20036,0.19682,0.6679,0.0,-0.0581,-1.8834,0.063,0.3236,18.0,0.0
201,1.0,0.20627,0.20274,0.6648,0.0,-0.0638,-1.7154,0.0559,0.3324,18.5,0.0
202,1.0,0.21704,0.21359,0.6937,0.0,-0.0632,-1.8903,0.0513,0.3264,19.0,0.0
203,1.0,0.22159,0.21812,0.6809,0.0,-0.0707,-1.579,0.0481,0.3392,19.5,0.0
204,1.0,0.22871,0.22527,0.6908,0.0,-0.0739,-1.5405,0.043,0.3417,20.0,0.0
205,0.0611,0.12048,0.11761,-0.5707,0.0,0.0443,-1.5902,1.0,0.323,-9.0,-5.0
206,0.0653,0.11207,0.10923,-0.5632,0.0,0.041,-1.5861,1.0,0.3185,-8.5,-5.0
207,0.0324,0.03557,0.02965,-0.6668,0.0,0.0134,-3.3915,0.9262,0.2662,-5.0,-5.0
208,0.028,0.02855,0.02161,-0.6342,0.0,0.0177,-3.4762,0.8974,0.2742,-4.5,-5.0
209,0.0265,0.02407,0.01626,-0.5893,0.0,0.0213,-3.4723,0.8768,0.2826,-4.0,-5.0
210,0.0291,0.02117,0.01305,-0.5403,0.0,0.0235,-3.2816,0.858,0.2901,-3.5,-5.0
211,0.0373,0.01873,0.01044,-0.4934,0.0,0.0258,-3.0811,0.8405,0.2992,-3.0,-5.0
212,0.073,0.01629,0.008,-0.4495,0.0,0.0289,-2.9951,0.8237,0.3114,-2.5,-5.0
213,0.3899,0.01372,0.00711,-0.4131,0.0,0.0321,-2.6805,0.8072,0.3251,-2.0,-5.0
214,0.6273,0.01223,0.00672,-0.3756,0.0,0.0363,-2.2156,0.7908,0.3443,-1.5,-5.0
215,0.9244,0.01317,0.00809,-0.2844,0.0,0.0346,-1.502,0.7743,0.3696,-1.0,-5.0
216,0.9736,0.01416,0.00846,-0.147,0.0,0.0208,-0.7548,0.756,0.3893,-0.5,-5.0
217,1.0,0.01394,0.00787,-0.0387,0.0,0.0103,-0.4178,0.7346,0.5138,0.0,-5.0
218,1.0,0.01388,0.00759,0.0089,0.0,0.0117,-0.4334,0.7149,-1.0639,0.5,-5.0
219,1.0,0.01374,0.00726,0.0557,0.0,0.0135,-0.4825,0.6964,0.0036,1.0,-5.0
220,1.0,0.01355,0.00692,0.1035,0.0,0.0151,-0.5373,0.6766,0.0998,1.5,-5.0
221,1.0,0.01333,0.00659,0.1514,0.0,0.0167,-0.5989,0.6554,0.135,2.0,-5.0
222,1.0,0.01307,0.00619,0.1982,0.0,0.0189,-0.6678,0.6351,0.1503,2.5,-5.0
223,1.0,0.01288,0.00593,0.2468,0.0,0.0205,-0.7464,0.6108,0.1624,3.0,-5.0
224,1.0,0.01269,0.00562,0.2942,0.0,0.0225,-0.833,0.5869,0.1688,3.5,-5.0
225,1.0,0.0126,0.00545,0.3432,0.0,0.024,-0.9301,0.5584,0.1751,4.0,-5.0
226,1.0,0.0126,0.00539,0.3923,0.0,0.0254,-1.0392,0.5278,0.1799,4.5,-5.0
227,1.0,0.0127,0.00541,0.4416,0.0,0.0267,-1.1606,0.495,0.1839,5.0,-5.0
228,1.0,0.0129,0.00562,0.4912,0.0,0.0278,-1.2991,0.4589,0.1874,5.5,-5.0
229,1.0,0.0132,0.00586,0.5402,0.0,0.0289,-1.4526,0.422,0.1901,6.0,-5.0
230,1.0,0.01362,0.00629,0.5892,0.0,0.0299,-1.6216,0.3821,0.1924,6.5,-5.0
231,1.0,0.01417,0.0068,0.6375,0.0,0.0309,-1.8155,0.34,0.1943,7.0,-5.0
232,1.0,0.01489,0.0075,0.6851,0.0,0.0317,-2.04,0.2952,0.196,7.5,-5.0
233,1.0,0.01584,0.00839,0.7317,0.0,0.0325,-2.3343,0.2499,0.1973,8.0,-5.0
234,1.0,0.01707,0.00955,0.7769,0.0,0.0333,-2.6609,0.2085,0.1983,8.5,-5.0
235,1.0,0.01855,0.01105,0.8207,0.0,0.0343,-3.0697,0.173,0.1988,9.0,-5.0
236,1.0,0.02025,0.01276,0.8626,0.0,0.0354,-3.6259,0.1438,0.199,9.5,-5.0
237,1.0,0.02221,0.01468,0.9023,0.0,0.0366,-4.1952,0.1198,0.1988,10.0,-5.0
238,1.0,0.02431,0.01704,0.9405,0.0,0.038,-4.7616,0.0993,0.1984,10.5,-5.0
239,1.0,0.02657,0.01944,0.9751,0.0,0.0393,-5.3288,0.0816,0.1977,11.0,-5.0
240,1.0,0.02937,0.02239,1.0056,0.0,0.0409,-5.8609,0.0675,0.1967,11.5,-5.0
241,1.0,0.03271,0.02602,1.0304,0.0,0.0427,-6.3314,0.0565,0.1952,12.0,-5.0
242,1.0,0.03733,0.03101,1.0476,0.0,0.0446,-6.6983,0.0494,0.1934,12.5,-5.0
243,1.0,0.04115,0.03515,1.0521,0.0,0.0462,-7.0044,0.044,0.1912,13.0,-5.0
244,1.0,0.04759,0.04182,1.0433,0.0,0.0471,-7.145,0.0405,0.1893,13.5,-5.0
245,1.0,0.05478,0.04953,1.0205,0.0,0.0455,-7.1171,0.0392,0.189,14.0,-5.0
246,1.0,0.06451,0.0597,0.9878,0.0,0.0409,-6.961,0.0386,0.1912,14.5,-5.0
247,1.0,0.07759,0.07317,0.944,0.0,0.0331,-6.6431,0.039,0.1968,15.0,-5.0
248,1.0,0.09492,0.09075,0.8898,0.0,0.0221,-6.127,0.0403,0.2065,15.5,-5.0
249,1.0,0.15541,0.15107,0.7185,0.0,-0.0098,-2.9974,0.0633,0.2482,16.0,-5.0
250,1.0,0.19354,0.18976,0.5725,0.0,-0.0291,-1.6716,0.0571,0.2882,19.5,-5.0
251,1.0,0.20442,0.20073,0.6043,0.0,-0.0283,-1.874,0.0522,0.2831,20.0,-5.0
